"优先级","评分","id","年份","日期","文号","标题","发文机关","当前司局","当前处室","官方链接","复核状态","建议司局","建议处室","复核说明"
"27","78","doc-013","2026","2026-01","文号待核","《中国气象局 民政部 文化和旅游部 国家医疗保障局 国家林业和草原局 国家中医药管理局 国家疾病预防控制局关于加强协同联动 推进康养气象服务高质量发展的指导意见》","中国气象局,民政部,文化和旅游部,国家医疗保障局,国家林业和草原局,国家中医药管理局,国家疾病预防控制局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/202601/content_7054707.htm","待复核","","",""
"28","76","doc-292","2021","2021-12","文号待核","《十部门关于印发《“十四五”医疗装备产业发展规划》的通知》","国家中医药管理局,国家药品监督管理局,国家医疗保障局,国家发展和改革委员会,科学技术部,工业和信息化部,财政部,国家卫生健康委员会,国务院国有资产监督管理委员会,国家市场监督管理总局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/2021-12/28/content_5664991.htm","待复核","","",""
"29","76","doc-296","2021","2021-11","医保发〔2021〕48号","《国家医疗保障局关于印发DRG/DIP 支付方式改革三年行动计划的通知》","国家医疗保障局","医保局-医药服务管理司","支付方式改革处","https://www.gov.cn/zhengce/zhengceku/2021-11/28/content_5653858.htm","待复核","","",""
"30","76","doc-298","2021","2021-11","国卫办医函〔2021〕560号","《国家卫生健康委办公厅关于开展老年医疗护理服务试点工作的通知》","国家卫生健康委员会","卫健委-医政司","护理与康复处","https://www.gov.cn/zhengce/zhengceku/2021-11/27/content_5653768.htm","待复核","","",""
"31","76","doc-303","2021","2021-11","国卫妇幼发〔2021〕33号","《国家卫生健康委关于印发健康儿童行动提升计划（2021—2025年）的通知》","国家卫生健康委员会","卫健委-人口家庭司","政策协调处","https://www.gov.cn/zhengce/zhengceku/2021-11/05/content_5649019.htm","待复核","","",""
"32","76","doc-304","2021","2021-11","国卫办医函〔2021〕538号","《国家卫生健康委办公厅关于印发“千县工程”县医院综合能力提升工作方案（2021-2025年）的通知》","国家卫生健康委员会","卫健委-医政司","医疗机构处","https://www.gov.cn/zhengce/zhengceku/2021-11/04/content_5648771.htm","待复核","","",""
"33","76","doc-308","2021","2021-10","国卫妇幼发〔2021〕30号","《国家卫生健康委关于印发母婴安全行动提升计划（2021-2025年）的通知》","国家卫生健康委员会","卫健委-人口家庭司","政策协调处","https://www.gov.cn/zhengce/zhengceku/2021-10/15/content_5642740.htm","待复核","","",""
"34","74","doc-033","2025","2025-08","文号待核","《关于印发《服务业经营主体贷款贴息政策实施方案》的通知》","人力资源和社会保障部,国家金融监督管理总局,中国人民银行,商务部,财政部,文化和旅游部,民政部,国家体育总局,国家卫生健康委员会","卫健委-规划发展与信息化司","发展规划处","https://www.gov.cn/zhengce/zhengceku/202508/content_7036204.htm","待复核","","",""
"35","74","doc-157","2023","2023-12","国中医药医政函〔2023〕266号","《国家中医药管理局关于印发县级中医医院“两专科一中心”项目建设管理办法的通知》","国家中医药管理局","卫健委-基层卫生健康司","综合处","https://www.gov.cn/zhengce/zhengceku/202312/content_6921604.htm","待复核","","",""
"36","74","doc-159","2023","2023-12","国中医药医政函〔2023〕263号","《国家中医药管理局关于进一步加强中医医院老年病科建设的通知》","国家中医药管理局","卫健委-医政司","医疗机构处","https://www.gov.cn/zhengce/zhengceku/202312/content_6921300.htm","待复核","","",""
